root,lexer,parser,grammar
27;28;42,I,1,run away;flee
27;28;4A,I,13,refuse
27;2A;4A,I,264,come;bring
27;2A;4A,IV,271,give
27;2B;31,I,1,transmit;be related
27;2B;31,IV,5,prefer
27;2C;31,I,1,work for recompense
27;2C;31,X,2,hire
27;2C;44,II,2,appoint
27;2E;30,I,127,take;seize
27;2E;30,III,9,call;account;punish
27;2E;30,VIII,124,take
27;2E;31,II,15,delay;give respite
27;2E;31,V,3,delay;stay behind
27;2E;31,X,6,delay;postpone
27;2F;4A,II,5,discharge;deliver
27;30;46,I,23,permit
27;30;46,II,3,announce;proclaim
27;30;46,IV,2,announce
27;30;46,V,2,announce;declare
27;30;46,X,12,ask permission
27;30;4A,IV,15,harm;trouble
27;32;31,IV,1,strengthen
27;32;32,I,1,incite
27;32;41,I,1,approach
27;33;31,I,1,take captive
27;33;33,II,3,found
27;33;41,IV,1,anger
27;33;48,I,4,grieve
27;41;43,I,16,delude;turn away
27;41;44,I,3,set
27;43;44,I,93,eat;consume
27;44;2A,I,1,deprive
27;44;41,II,5,join;reconcile
27;44;45,I,3,suffer
27;44;48,I,1,spare
27;44;48,IV,1,swear;vow
27;44;48,VIII,1,swear
27;45;31,I,77,order;command
27;45;31,VIII,2,consult
27;45;46,I,20,feel secure
27;45;46,IV,537,believe
27;45;46,VIII,1,be entrusted
27;46;33,IV,5,perceive
27;46;33,X,1,ask permission
27;46;4A,I,1,come (time)
27;48;28,II,1,repeat
27;48;2F,I,1,tire
27;48;4A,I,5,seek shelter
27;48;4A,IV,9,give shelter
27;4A;2F,II,9,support;strengthen
28;27;33,I,40,be wretched;be evil
28;27;33,VIII,2,grieve
28;2A;43,II,1,cut off
28;2A;44,V,1,devote
28;2B;2B,I,5,disperse
28;2C;33,VII,1,gush;flow
28;2D;2B,I,1,search;scratch
28;2E;33,I,5,diminish;deprive
28;2E;44,I,10,be stingy;withhold
28;2F;27,I,12,begin;originate
28;2F;27,IV,3,originate
28;2F;39,VIII,1,innovate
28;2F;44,II,23,change
28;2F;44,IV,3,substitute
28;2F;44,V,3,exchange
28;2F;44,X,3,replace
28;2F;48,I,11,become apparent
28;2F;48,IV,15,reveal;disclose
28;30;31,II,1,squander;waste
28;31;27,I,1,bring inexistence
28;31;27,II,2,absolve;clear
28;31;27,IV,2,heal;cure
28;31;27,V,5,disown
28;31;2C,V,1,display
