key,val,node
2,282,39227
73,20,29663
24,31,25614
5,110,25584
5,3,25362
4,102,25306
22,5,24428
4,25,24232
33,53,23481
48,29,23398
4,23,22484
5,41,22308
24,61,22085
2,233,21290
2,61,21254
24,33,21041
2,196,20617
3,154,20591
2,259,20364
2,187,19813
5,106,19517
33,35,19301
2,85,18995
7,169,18921
4,12,18892
74,31,18617
24,58,18525
2,102,18514
5,12,18022
6,99,17873
24,62,17586
4,34,17457
4,77,17455
47,4,17085
5,89,17078
2,231,16932
6,93,16839
7,155,16808
10,24,16646
60,1,16451
9,69,16378
3,7,16344
4,11,16321
46,15,16214
2,249,16160
5,6,16070
33,50,15967
5,2,15946
13,16,15858
3,195,15754
5,5,15726
4,176,15540
2,253,15538
57,20,15500
6,144,15258
6,141,14991
7,160,14918
4,94,14911
2,213,14896
7,157,14854
7,146,14847
28,15,14750
4,24,14678
59,2,14586
7,38,14547
4,43,14517
35,12,14380
18,17,14296
47,15,14162
65,6,14158
60,10,14148
2,177,14010
2,217,13969
7,150,13954
14,22,13924
23,14,13920
6,70,13914
2,235,13834
57,27,13713
2,255,13685
6,158,13571
5,95,13564
3,152,13511
33,37,13499
34,31,13492
6,91,13489
24,35,13447
48,25,13393
4,127,13345
24,55,13293
7,54,13273
13,17,13272
46,20,13269
38,24,13256
35,40,13252
33,19,13249
40,67,13207
3,81,13160
6,148,13139
5,64,13082
2,164,13078
2,221,13063
4,19,13009
2,246,13007
49,12,12919
2,229,12910
4,92,12892
2,286,12855
6,68,12839
2,258,12836
4,153,12829
9,120,12774
3,112,12740
9,40,12732
2,232,12699
2,26,12676
60,4,12657
66,8,12629
10,61,12578
42,45,12532
18,19,12529
2,267,12514
47,20,12511
5,44,12479
2,185,12470
9,118,12413
57,21,12380
7,176,12351
7,53,12319
58,22,12314
5,32,12260
3,119,12255
65,1,12255
3,103,12215
12,21,12145
9,36,12101
43,32,12091
6,128,12083
10,15,12071
41,50,12047
30,9,12034
2,266,12002
20,40,11959
4,6,11925
10,71,11911
2,178,11903
2,237,11893
39,7,11888
7,57,11866
2,150,11848
3,156,11817
8,72,11754
35,37,11732
6,151,11709
6,146,11709
4,171,11694
3,159,11678
7,74,11591
3,49,11534
35,18,11533
39,71,11532
29,40,11526
7,137,11525
39,38,11524
9,94,11517
34,3,11504
4,89,11490
6,94,11442
2,283,11428
2,198,11423
2,191,11389
34,33,11334
9,74,11299
5,48,11292
27,40,11292
48,15,11286
13,31,11272
7,37,11256
2,228,11244
16,92,11212
5,33,11206
2,145,11180
3,36,11117
